id,text,doccano_art_id,sentence_id,current_sentence_section,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence,label,Comments
3322,"Other forms of regularization explicitly act upon activations such as such as batch normalization (Ioffe & Szegedy, 2015), recurrent batch normalization (Cooijmans et al., 2016), and layer normalization (Ba et al., 2016).",6,22,Introduction,Introduction,"Some RNN architectures only allow element-wise interactions (Balduzzi & Ghifary, 2016;Bradbury et al., 2016;Seo et al., 2016), removing the recurrent matrix entirely, while others act to restrict the capacity by parameterizing the recurrent matrix (Arjovsky et al., 2016;Wisdom et al., 2016;Jing et al., 2016).",Introduction,These all introduce additional training parameters and can complicate the training process while increasing the sensitivity of the model.,,
3323,These all introduce additional training parameters and can complicate the training process while increasing the sensitivity of the model.,6,23,Introduction,Introduction,"Other forms of regularization explicitly act upon activations such as such as batch normalization (Ioffe & Szegedy, 2015), recurrent batch normalization (Cooijmans et al., 2016), and layer normalization (Ba et al., 2016).",Introduction,"Norm stabilization (Krueger & Memisevic, 2015) penalizes the model when the norm of an RNN's hidden state changes substantially between timesteps, achieving strong results in character language modeling on and phoneme recognition.",,
3324,"Norm stabilization (Krueger & Memisevic, 2015) penalizes the model when the norm of an RNN's hidden state changes substantially between timesteps, achieving strong results in character language modeling on and phoneme recognition.",6,24,Introduction,Introduction,These all introduce additional training parameters and can complicate the training process while increasing the sensitivity of the model.,Introduction,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",,
3325,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",6,25,Introduction,Introduction,"Norm stabilization (Krueger & Memisevic, 2015) penalizes the model when the norm of an RNN's hidden state changes substantially between timesteps, achieving strong results in character language modeling on and phoneme recognition.",Introduction,"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results.",,
3326,"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results.",6,26,Introduction,Introduction,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",Compared to other invasive regularization techniques,"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model.",,
3327,"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model.",6,27,Compared to other invasive regularization techniques,Introduction,"When applied to modern baselines that do not contain recurrent dropout or normalization techniques, AR and TAR achieve comparable or superior results.",Compared to other invasive regularization techniques,This enables AR and TAR to be applied to optimized RNN implementations such as the cuDNN LSTM which can be many times faster than naïve but flexible LSTM implementations.,,
3328,This enables AR and TAR to be applied to optimized RNN implementations such as the cuDNN LSTM which can be many times faster than naïve but flexible LSTM implementations.,6,28,Compared to other invasive regularization techniques,Compared to other invasive regularization techniques,"which may require modifications to the RNN cell itself or complex model changes, both AR and TAR require no substantial modifications to the RNN or model.",Activation Regularization,"L 2 activation regularization (AR) While L 2 regularization is traditionally used on the weights of machine learning models (L 2 weight decay), it could also be used on the activations.",,
3329,"L 2 activation regularization (AR) While L 2 regularization is traditionally used on the weights of machine learning models (L 2 weight decay), it could also be used on the activations.",6,29,Activation Regularization,Compared to other invasive regularization techniques,This enables AR and TAR to be applied to optimized RNN implementations such as the cuDNN LSTM which can be many times faster than naïve but flexible LSTM implementations.,Activation Regularization,"We define AR as α L 2 (m ⊙ h t ) where m is the dropout mask used by later parts of the model, L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and α is a scaling coefficient.",,
3330,"We define AR as α L 2 (m ⊙ h t ) where m is the dropout mask used by later parts of the model, L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and α is a scaling coefficient.",6,30,Activation Regularization,Activation Regularization,"L 2 activation regularization (AR) While L 2 regularization is traditionally used on the weights of machine learning models (L 2 weight decay), it could also be used on the activations.",Activation Regularization,"When applied to the output of a dense layer, AR penalizes activations that are substantially away from 0, encouraging the activations to remain small.",,
3331,"When applied to the output of a dense layer, AR penalizes activations that are substantially away from 0, encouraging the activations to remain small.",6,31,Activation Regularization,Activation Regularization,"We define AR as α L 2 (m ⊙ h t ) where m is the dropout mask used by later parts of the model, L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and α is a scaling coefficient.",Activation Regularization,"While acting implicitly rather than explicitly, this has similarities to the various batch or layer normalization techniques.",,
3332,"While acting implicitly rather than explicitly, this has similarities to the various batch or layer normalization techniques.",6,32,Activation Regularization,Activation Regularization,"When applied to the output of a dense layer, AR penalizes activations that are substantially away from 0, encouraging the activations to remain small.",Activation Regularization,The L 2 penalty on the RNN activations can be applied to h t or to m ⊙ h t (the dropped output used in the rest of the model).,,
3333,The L 2 penalty on the RNN activations can be applied to h t or to m ⊙ h t (the dropped output used in the rest of the model).,6,33,Activation Regularization,Activation Regularization,"While acting implicitly rather than explicitly, this has similarities to the various batch or layer normalization techniques.",Activation Regularization,"In our experiments, we found that applying AR to m ⊙ h t was more effective than applying it to neurons not updated during the current optimization step.",,
3334,"In our experiments, we found that applying AR to m ⊙ h t was more effective than applying it to neurons not updated during the current optimization step.",6,34,Activation Regularization,Activation Regularization,The L 2 penalty on the RNN activations can be applied to h t or to m ⊙ h t (the dropped output used in the rest of the model).,Temporal activation regularization (TAR),Adding a prior that minimizes differences between states has been explored in the past.,,
3335,Adding a prior that minimizes differences between states has been explored in the past.,6,35,Temporal activation regularization (TAR),Activation Regularization,"In our experiments, we found that applying AR to m ⊙ h t was more effective than applying it to neurons not updated during the current optimization step.",Temporal activation regularization (TAR),"This broad concept falls under the broad concept of slowness regularization (Hinton, 1989;Földiák, 1991;Luciw & Schmidhuber, 2012;Jonschkowski & Brock, 2015;Wen et al., 2015) which attempts to minimize L(f (x t ), f (x t+1 )) where L is a loss function describing the distance between f (x t ) and f (x t+1 ) and f is an arbitrary mapping function.",,
3336,"This broad concept falls under the broad concept of slowness regularization (Hinton, 1989;Földiák, 1991;Luciw & Schmidhuber, 2012;Jonschkowski & Brock, 2015;Wen et al., 2015) which attempts to minimize L(f (x t ), f (x t+1 )) where L is a loss function describing the distance between f (x t ) and f (x t+1 ) and f is an arbitrary mapping function.",6,36,Temporal activation regularization (TAR),Temporal activation regularization (TAR),Adding a prior that minimizes differences between states has been explored in the past.,Temporal activation regularization (TAR),"Temporal activation regularization (TAR) is a direct descendant of this slowness regularization, minimizing β L 2 (h t -h t+1 ) where L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and β is a scaling coefficient.",,
3337,"Temporal activation regularization (TAR) is a direct descendant of this slowness regularization, minimizing β L 2 (h t -h t+1 ) where L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and β is a scaling coefficient.",6,37,Temporal activation regularization (TAR),Temporal activation regularization (TAR),"This broad concept falls under the broad concept of slowness regularization (Hinton, 1989;Földiák, 1991;Luciw & Schmidhuber, 2012;Jonschkowski & Brock, 2015;Wen et al., 2015) which attempts to minimize L(f (x t ), f (x t+1 )) where L is a loss function describing the distance between f (x t ) and f (x t+1 ) and f is an arbitrary mapping function.",Temporal activation regularization (TAR),"TAR penalizes any large changes in hidden state between timesteps, encouraging the model to keep the output as consistent as possible.",,
3338,"TAR penalizes any large changes in hidden state between timesteps, encouraging the model to keep the output as consistent as possible.",6,38,Temporal activation regularization (TAR),Temporal activation regularization (TAR),"Temporal activation regularization (TAR) is a direct descendant of this slowness regularization, minimizing β L 2 (h t -h t+1 ) where L 2 (•) = • 2 (L 2 norm), h t is the output of the RNN at timestep t, and β is a scaling coefficient.",Temporal activation regularization (TAR),"For the LSTM, the hidden state which is regularized is only h t , not the long term memory c t , though this could optionally be regularized in a similar manner.",,
3339,"For the LSTM, the hidden state which is regularized is only h t , not the long term memory c t , though this could optionally be regularized in a similar manner.",6,39,Temporal activation regularization (TAR),Temporal activation regularization (TAR),"TAR penalizes any large changes in hidden state between timesteps, encouraging the model to keep the output as consistent as possible.",Model Parameters Validation,"Results over the Penn Treebank for testing α coefficients for AR with base model h = 650, β = 0, dp = 0.5, dp h = 0.5.",,
3340,"To understand the potential of AR and TAR, we investigate their impact on language model perplexity when used independently in Table 1 (AR) and Table 2 (TAR).",6,56,Evaluating AR and TAR independently on PTB:,Model,"All models use weight tying between the embedding and softmax layer (Inan et al., 2016;Press & Wolf, 2016).",Evaluating AR and TAR independently on PTB:,"While both result in a substantial reduction in perplexity, AR results in the strongest improvement of 5.3, while TAR only achieves 4.3.",,
3341,"While both result in a substantial reduction in perplexity, AR results in the strongest improvement of 5.3, while TAR only achieves 4.3.",6,57,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"To understand the potential of AR and TAR, we investigate their impact on language model perplexity when used independently in Table 1 (AR) and Table 2 (TAR).",Evaluating AR and TAR independently on PTB:,The drops achieved by this are equivalent to using an LSTM model with twice as many parameters -a substantial improvement given the simplicity of AR and TAR.,,
3342,The drops achieved by this are equivalent to using an LSTM model with twice as many parameters -a substantial improvement given the simplicity of AR and TAR.,6,58,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"While both result in a substantial reduction in perplexity, AR results in the strongest improvement of 5.3, while TAR only achieves 4.3.",Evaluating AR and TAR independently on PTB:,"Evaluating AR and TAR jointly on PTB: When both AR and TAR are used together, we found the best result was achieved by decreasing α and β, likely as the model was over-regularized otherwise.",,
3343,"Evaluating AR and TAR jointly on PTB: When both AR and TAR are used together, we found the best result was achieved by decreasing α and β, likely as the model was over-regularized otherwise.",6,59,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,The drops achieved by this are equivalent to using an LSTM model with twice as many parameters -a substantial improvement given the simplicity of AR and TAR.,Evaluating AR and TAR independently on PTB:,In Table 3 we present PTB results for three different model sizes comparing models without AR/TAR to those which use both.,,
3344,In Table 3 we present PTB results for three different model sizes comparing models without AR/TAR to those which use both.,6,60,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"Evaluating AR and TAR jointly on PTB: When both AR and TAR are used together, we found the best result was achieved by decreasing α and β, likely as the model was over-regularized otherwise.",Evaluating AR and TAR independently on PTB:,"The model sizes h ∈ [650, 950, 1500] were chosen to be comparable in size to other published results.",,
3345,"The model sizes h ∈ [650, 950, 1500] were chosen to be comparable in size to other published results.",6,61,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,In Table 3 we present PTB results for three different model sizes comparing models without AR/TAR to those which use both.,Evaluating AR and TAR independently on PTB:,"With both AR and TAR, the smallest model has an improvement of 6.2 over the baseline model.",,
3346,"With both AR and TAR, the smallest model has an improvement of 6.2 over the baseline model.",6,62,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"The model sizes h ∈ [650, 950, 1500] were chosen to be comparable in size to other published results.",Evaluating AR and TAR independently on PTB:,"The improvements continue for the two larger size models, h = 950 and h = 1500, though the gains fall off as the model size is increased.",,
3347,"The improvements continue for the two larger size models, h = 950 and h = 1500, though the gains fall off as the model size is increased.",6,63,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"With both AR and TAR, the smallest model has an improvement of 6.2 over the baseline model.",Evaluating AR and TAR independently on PTB:,Comparing to state-of-the-art PTB: In Table 5 we summarize the current state of the art models in language modeling over the Penn Treebank.,,
3348,Comparing to state-of-the-art PTB: In Table 5 we summarize the current state of the art models in language modeling over the Penn Treebank.,6,64,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"The improvements continue for the two larger size models, h = 950 and h = 1500, though the gains fall off as the model size is increased.",Evaluating AR and TAR independently on PTB:,"The largest LSTM we train (h = 1500) achieves comparable results to the Recurrent Highway Network (RHN) (Zilly et al., 2016), a human developed custom RNN architecture, but with approximately double the number of parameters.",,
3349,"The largest LSTM we train (h = 1500) achieves comparable results to the Recurrent Highway Network (RHN) (Zilly et al., 2016), a human developed custom RNN architecture, but with approximately double the number of parameters.",6,65,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,Comparing to state-of-the-art PTB: In Table 5 we summarize the current state of the art models in language modeling over the Penn Treebank.,Evaluating AR and TAR independently on PTB:,"Although the LSTM uses twice as many parameters, the RHN runs a cell 10 times per timestep (referred to as recurrence depth), resulting in far more computation.",,
3350,"Although the LSTM uses twice as many parameters, the RHN runs a cell 10 times per timestep (referred to as recurrence depth), resulting in far more computation.",6,66,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"The largest LSTM we train (h = 1500) achieves comparable results to the Recurrent Highway Network (RHN) (Zilly et al., 2016), a human developed custom RNN architecture, but with approximately double the number of parameters.",Evaluating AR and TAR independently on PTB:,"This would likely result in the RHN being slower than the larger LSTM model during both training and prediction, especially when factoring in optimized LSTM implementations such as NVIDIA's cuDNN LSTM.",,
3351,"This would likely result in the RHN being slower than the larger LSTM model during both training and prediction, especially when factoring in optimized LSTM implementations such as NVIDIA's cuDNN LSTM.",6,67,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"Although the LSTM uses twice as many parameters, the RHN runs a cell 10 times per timestep (referred to as recurrence depth), resulting in far more computation.",Evaluating AR and TAR independently on PTB:,"We also compare to the Neural Architecture Search (NAS) cell (Zoph & Le, 2016).",,
3352,"We also compare to the Neural Architecture Search (NAS) cell (Zoph & Le, 2016).",6,68,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"This would likely result in the RHN being slower than the larger LSTM model during both training and prediction, especially when factoring in optimized LSTM implementations such as NVIDIA's cuDNN LSTM.",Evaluating AR and TAR independently on PTB:,"While Zoph & Le (2016) do not report any of the hyperparameters or what type of dropout they used for their Penn Treebank result, they do note that they performed an extensive hyperparameter search over learning rate, weight initialization, dropout rates, and decay epoch in order to produce their best performing model.",,
3353,"While Zoph & Le (2016) do not report any of the hyperparameters or what type of dropout they used for their Penn Treebank result, they do note that they performed an extensive hyperparameter search over learning rate, weight initialization, dropout rates, and decay epoch in order to produce their best performing model.",6,69,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"We also compare to the Neural Architecture Search (NAS) cell (Zoph & Le, 2016).",Evaluating AR and TAR independently on PTB:,It is possible that a large contributor to their improved result was in these tuned hyperparameters as they did not compare their NAS cell results to a standard or variational LSTM cell that was subjected to the same extensive hyperparameter search.,,
3354,It is possible that a large contributor to their improved result was in these tuned hyperparameters as they did not compare their NAS cell results to a standard or variational LSTM cell that was subjected to the same extensive hyperparameter search.,6,70,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,"While Zoph & Le (2016) do not report any of the hyperparameters or what type of dropout they used for their Penn Treebank result, they do note that they performed an extensive hyperparameter search over learning rate, weight initialization, dropout rates, and decay epoch in order to produce their best performing model.",Evaluating AR and TAR independently on PTB:,"Our largest LSTM results are 3 perplexity higher in comparison but have not undergone extensive hyperparameter search, do not use additional regularization techniques such as recurrent or embedding dropout, and do not use a custom RNN cell.",,
3355,"Our largest LSTM results are 3 perplexity higher in comparison but have not undergone extensive hyperparameter search, do not use additional regularization techniques such as recurrent or embedding dropout, and do not use a custom RNN cell.",6,71,Evaluating AR and TAR independently on PTB:,Evaluating AR and TAR independently on PTB:,It is possible that a large contributor to their improved result was in these tuned hyperparameters as they did not compare their NAS cell results to a standard or variational LSTM cell that was subjected to the same extensive hyperparameter search.,Model,WikiText-2 Results: We compare our WikiText-2 results to Inan et al.,,
3356,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",6,88,Conclusion,Model,"This would be important given the weights in this model were randomly initialized and suggests TAR acts as an implicit identity initialization constraint (Le et al., 2015).",Conclusion,"While simple to implement, activity regularization and temporal activity regularization are com-",,
3357,"While simple to implement, activity regularization and temporal activity regularization are com-",6,89,Conclusion,Conclusion,"In this work, we revisit L 2 regularization in the form of activation regularization (AR) and temporal activation regularization (TAR).",Sample generated text,"For generating text samples, words were sampled using the standard generation script contained in the PyTorch word level language modeling example.",,
3358,"For generating text samples, words were sampled using the standard generation script contained in the PyTorch word level language modeling example.",6,90,Sample generated text,Conclusion,"While simple to implement, activity regularization and temporal activity regularization are com-",Sample generated text,WikiText-2 was used given the larger vocabulary and more realistic looking text.,,
3359,WikiText-2 was used given the larger vocabulary and more realistic looking text.,6,91,Sample generated text,Sample generated text,"For generating text samples, words were sampled using the standard generation script contained in the PyTorch word level language modeling example.",Sample generated text,Neither the eos token nor the unk were allowed to be selected.,,
3360,Neither the eos token nor the unk were allowed to be selected.,6,92,Sample generated text,Sample generated text,WikiText-2 was used given the larger vocabulary and more realistic looking text.,Sample generated text,"Each paragraph is a separate sample of text with the tokens following Moses (Koehn et al., 2007), joining words with @-@ and dot-decimal split to a @.",,
3361,"Each paragraph is a separate sample of text with the tokens following Moses (Koehn et al., 2007), joining words with @-@ and dot-decimal split to a @.",6,93,Sample generated text,Sample generated text,Neither the eos token nor the unk were allowed to be selected.,Sample generated text,"Something Borrowed "" is the second episode of the fourth season of the American comedy television series The X @-@ Files .",,
3362,"Something Borrowed "" is the second episode of the fourth season of the American comedy television series The X @-@ Files .",6,94,Sample generated text,Sample generated text,"Each paragraph is a separate sample of text with the tokens following Moses (Koehn et al., 2007), joining words with @-@ and dot-decimal split to a @.",Sample generated text,The episode was written by David McCarthy and directed by Mark Sacks .,,
3363,The episode was written by David McCarthy and directed by Mark Sacks .,6,95,Sample generated text,Sample generated text,"Something Borrowed "" is the second episode of the fourth season of the American comedy television series The X @-@ Files .",Sample generated text,"It aired in the United States on November 30 , 2011 , as a two @-@ episode episode, watched by 4 @.",,
3364,"It aired in the United States on November 30 , 2011 , as a two @-@ episode episode, watched by 4 @.",6,96,Sample generated text,Sample generated text,The episode was written by David McCarthy and directed by Mark Sacks .,Sample generated text,@ 9 million viewers and was the highest rated show on the Fox network .,,
3365,@ 9 million viewers and was the highest rated show on the Fox network .,6,97,Sample generated text,Sample generated text,"It aired in the United States on November 30 , 2011 , as a two @-@ episode episode, watched by 4 @.",Sample generated text,"The work of Olivier 's , a large 1950s table with the center of a vinyl beam , was used for bony motifs from the upper @-@ production model via the Club van X .",,
3366,"The work of Olivier 's , a large 1950s table with the center of a vinyl beam , was used for bony motifs from the upper @-@ production model via the Club van X .",6,98,Sample generated text,Sample generated text,@ 9 million viewers and was the highest rated show on the Fox network .,Sample generated text,"The modified works were released in the museum , which gave its namesake to the visual designers in Hong Kong .",,
3367,"The modified works were released in the museum , which gave its namesake to the visual designers in Hong Kong .",6,99,Sample generated text,Sample generated text,"The work of Olivier 's , a large 1950s table with the center of a vinyl beam , was used for bony motifs from the upper @-@ production model via the Club van X .",Sample generated text,"The first prototype was released for the PlayStation 4 , containing the 2 @.",,
3368,"The first prototype was released for the PlayStation 4 , containing the 2 @.",6,100,Sample generated text,Sample generated text,"The modified works were released in the museum , which gave its namesake to the visual designers in Hong Kong .",Sample generated text,"@ 5 part series , with 3 @.",,
3369,"@ 5 part series , with 3 @.",6,101,Sample generated text,Sample generated text,"The first prototype was released for the PlayStation 4 , containing the 2 @.",Sample generated text,@ 5 million copies sold .,,
3370,@ 5 million copies sold .,6,102,Sample generated text,Sample generated text,"@ 5 part series , with 3 @.",Sample generated text,"In October 2010 , Activision announced that both the game and the main gameplay was "" downloadable "" .",,
3371,"In October 2010 , Activision announced that both the game and the main gameplay was "" downloadable "" .",6,103,Sample generated text,Sample generated text,@ 5 million copies sold .,Sample generated text,"The first game , titled Snow : The Game of the Battlefield 2 : The Ultimate Warrior , was the third anime game , and was released in August 2016 .",,
3372,"The first game , titled Snow : The Game of the Battlefield 2 : The Ultimate Warrior , was the third anime game , and was released in August 2016 .",6,104,Sample generated text,Sample generated text,"In October 2010 , Activision announced that both the game and the main gameplay was "" downloadable "" .",Sample generated text,"The German Land Forces had been reversed in the early 1990s , although the Soviet Union continued to deter NDH forces in the nation .",,
3373,"The German Land Forces had been reversed in the early 1990s , although the Soviet Union continued to deter NDH forces in the nation .",6,105,Sample generated text,Sample generated text,"The first game , titled Snow : The Game of the Battlefield 2 : The Ultimate Warrior , was the third anime game , and was released in August 2016 .",Sample generated text,"The area was moved to Sarajevo , and the troops were despatched to the National Register of Historic Places in the summer of 1918 for the establishment of full political and social parties .",,
3374,"The area was moved to Sarajevo , and the troops were despatched to the National Register of Historic Places in the summer of 1918 for the establishment of full political and social parties .",6,106,Sample generated text,Sample generated text,"The German Land Forces had been reversed in the early 1990s , although the Soviet Union continued to deter NDH forces in the nation .",Sample generated text,"The Polish language was protected by the Soviet Union , which was the first Polish continental conflict of the newly formed Union in North America , and the Polish Front with the last of the Polish Communist Party .",,
3375,"The Polish language was protected by the Soviet Union , which was the first Polish continental conflict of the newly formed Union in North America , and the Polish Front with the last of the Polish Communist Party .",6,107,Sample generated text,Sample generated text,"The area was moved to Sarajevo , and the troops were despatched to the National Register of Historic Places in the summer of 1918 for the establishment of full political and social parties .",,,,
